year,semester,carleton_code,uottawa_code,course_name,professor,outline_link
2015,fall,COMP 3804,MATH 3804,Design and Analysis of Algorithms I,Giovanni Viglietta,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP3804outline.pdf
2015,fall,COMP 4001A,,DISTRIBUTED COMPUTING ,Evangelos Kranakis,https://service.scs.carleton.ca/sites/default/files/course_outlines/401-15.pdf
2015,fall,COMP 4003A,,Transaction Processing Systems,Mengchi Liu,https://service.scs.carleton.ca/sites/default/files/course_outlines/4003outline_0.docx
2015,fall,COMP 4004A,,Software Quality Assurance,Jean-Pierre Corriveau,https://service.scs.carleton.ca/sites/default/files/course_outlines/4004-%20outlineF15.pdf
2015,fall,COMP 4109A,,Applied Cryptography,M. Jason Hinek,https://service.scs.carleton.ca/sites/default/files/course_outlines/F15-4109-v1%20.pdf
2015,fall,COMP 4111A,COMP 5111,Data Management for Business Intelligence,Leopoldo Bertossi,https://service.scs.carleton.ca/sites/default/files/course_outlines/syllBI15.pdf
2015,fall,COMP 4900A,,EVOLVING INFORMATION NETWORKS ,Evangelos Kranakis,https://service.scs.carleton.ca/sites/default/files/course_outlines/590-15.pdf
2015,fall,COMP 5110,CSI 5140C,Computer Security & Usability,Sonia Chiasson,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP5110Fall2015_Outline_0.pdf
2015,fall,COMP 5209,CSI 5140,Visual Analytics,Robert Biddle,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp5209-outline-2015f.pdf
2015,fall,COMP 5307,,Knowledge Representation,Leopoldo Bertossi,https://service.scs.carleton.ca/sites/default/files/course_outlines/syllKR15.pdf
2015,fall,COMP 5704A,,Parallel Algorithms and Applications in Data Science,Frank Dehne,https://service.scs.carleton.ca/sites/default/files/course_outlines/5704%20course%20outline.html
2015,fall,COMP 5900,,Mining Software Repositories,Olga Baysal,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP5900_outline.pdf
